2024-11-08 16:59:19.343 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 16:59:19.353 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 16:59:19.357 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName2}}
2024-11-08 16:59:19.360 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport1}}
2024-11-08 16:59:19.363 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>NRIC/Passport No.: {{nricPassport2}}
2024-11-08 16:59:22.987 | INFO     | manger:request_validation_exception_handler:81 - POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:59:22.990 | ERROR    | manger:request_validation_exception_handler:83 - 参数错误POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:59:59.600 | INFO     | manger:request_validation_exception_handler:81 - POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:59:59.603 | ERROR    | manger:request_validation_exception_handler:83 - 参数错误POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 17:01:21.107 | INFO     | manger:request_validation_exception_handler:82 - POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 17:01:21.110 | ERROR    | manger:request_validation_exception_handler:84 - 参数错误POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 17:02:11.044 | INFO     | manger:request_validation_exception_handler:82 - POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 17:02:11.061 | ERROR    | manger:request_validation_exception_handler:84 - 参数错误POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 17:13:01.384 | INFO     | modules.Project:Make_Signature_Files:1985 - Make_Signature_Files ====>>>>>docPath='/home/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/a33c9f3eb1c943b499b04372e9ba12a7/document/20241108/0599f6f783274d5687384f9b2bf2872e.docx' data={'buyerList': [{'num': '(1) ', 'buyerName': 'HAJI BASIR NOORZAI (ID No. E1231)'}, {'num': '(2) ', 'buyerName': 'MING WANG (ID No. 52632)'}], 'year': 2024, 'postalCode': '', 'signDate': '08/11/2024', 'type': 'Penthouse', 'companyName1': '', 'building': 'Blk 01', 'companyName2': '', 'projectNameUpper': 'THE-IVERIA_1 (D09)', 'custom9': '', 'company1': ' ', 'company2': ' ', 'buyerStr': '(2) MING WANG (ID No. 52632)', 'custom3': '', 'custom4': '', 'custom1': '', 'businessNumber2': '', 'custom2': '', 'businessNumber1': '', 'custom7': '', 'day': 8, 'custom8': '', 'custom5': '', 'custom6': '', 'area': 451, 'address': 'A, #123 1111, SINGAPORE 234454', 'unitName': '#08-02', 'transactionDate': '31/10/2022', 'custom10': '', 'month': 'November', 'floorPlan': 'P1f', 'nricPassport1': 'E1231', 'buyer1': 'HAJI BASIR NOORZAI E1231', 'buyerName1': 'HAJI BASIR NOORZAI', 'nricPassport2': '52632', 'buyer2': 'MING WANG 52632', 'projectName': 'The-Iveria_1 (D09)', 'buyerName2': 'MING WANG', 'facility': [{'ischeck': '☑', 'values': '要'}], 'img2': '', 'img1': ''}
2024-11-08 17:17:20.125 | INFO     | modules.Project:Make_Signature_Files:1986 - Make_Signature_Files ====>>>>>docPath='/home/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/a33c9f3eb1c943b499b04372e9ba12a7/document/20241108/0599f6f783274d5687384f9b2bf2872e.docx' data={'buyerList': [{'num': '(1) ', 'buyerName': 'HAJI BASIR NOORZAI (ID No. E1231)'}, {'num': '(2) ', 'buyerName': 'MING WANG (ID No. 52632)'}], 'year': 2024, 'postalCode': '', 'signDate': '08/11/2024', 'type': 'Penthouse', 'companyName1': '', 'building': 'Blk 01', 'companyName2': '', 'projectNameUpper': 'THE-IVERIA_1 (D09)', 'custom9': '', 'company1': ' ', 'company2': ' ', 'buyerStr': '(2) MING WANG (ID No. 52632)', 'custom3': '', 'custom4': '', 'custom1': '', 'businessNumber2': '', 'custom2': '', 'businessNumber1': '', 'custom7': '', 'day': 8, 'custom8': '', 'custom5': '', 'custom6': '', 'area': 451, 'address': 'A, #123 1111, SINGAPORE 234454', 'unitName': '#08-02', 'transactionDate': '31/10/2022', 'custom10': '', 'month': 'November', 'floorPlan': 'P1f', 'nricPassport1': 'E1231', 'buyer1': 'HAJI BASIR NOORZAI E1231', 'buyerName1': 'HAJI BASIR NOORZAI', 'nricPassport2': '52632', 'buyer2': 'MING WANG 52632', 'projectName': 'The-Iveria_1 (D09)', 'buyerName2': 'MING WANG', 'facility': [{'ischeck': '☑', 'values': '要'}], 'img2': '', 'img1': ''}
2024-11-08 17:18:16.721 | INFO     | modules.Project:Make_Signature_Files:1986 - Make_Signature_Files ====>>>>>docPath='/home/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/a33c9f3eb1c943b499b04372e9ba12a7/document/20241108/0599f6f783274d5687384f9b2bf2872e.docx' data={'buyerList': [{'num': '(1) ', 'buyerName': 'HAJI BASIR NOORZAI (ID No. E1231)'}, {'num': '(2) ', 'buyerName': 'MING WANG (ID No. 52632)'}], 'year': 2024, 'postalCode': '', 'signDate': '08/11/2024', 'type': 'Penthouse', 'companyName1': '', 'building': 'Blk 01', 'companyName2': '', 'projectNameUpper': 'THE-IVERIA_1 (D09)', 'custom9': '', 'company1': ' ', 'company2': ' ', 'buyerStr': '(2) MING WANG (ID No. 52632)', 'custom3': '', 'custom4': '', 'custom1': '', 'businessNumber2': '', 'custom2': '', 'businessNumber1': '', 'custom7': '', 'day': 8, 'custom8': '', 'custom5': '', 'custom6': '', 'area': 451, 'address': 'A, #123 1111, SINGAPORE 234454', 'unitName': '#08-02', 'transactionDate': '31/10/2022', 'custom10': '', 'month': 'November', 'floorPlan': 'P1f', 'nricPassport1': 'E1231', 'buyer1': 'HAJI BASIR NOORZAI E1231', 'buyerName1': 'HAJI BASIR NOORZAI', 'nricPassport2': '52632', 'buyer2': 'MING WANG 52632', 'projectName': 'The-Iveria_1 (D09)', 'buyerName2': 'MING WANG', 'facility': [{'ischeck': '☑', 'values': '要'}], 'img2': '', 'img1': ''}
2024-11-08 17:18:47.409 | INFO     | modules.Project:Make_Signature_Files:1986 - Make_Signature_Files ====>>>>>docPath='/home/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/a33c9f3eb1c943b499b04372e9ba12a7/document/20241108/0599f6f783274d5687384f9b2bf2872e.docx' data={'buyerList': [{'num': '(1) ', 'buyerName': 'HAJI BASIR NOORZAI (ID No. E1231)'}, {'num': '(2) ', 'buyerName': 'MING WANG (ID No. 52632)'}], 'year': 2024, 'postalCode': '', 'signDate': '08/11/2024', 'type': 'Penthouse', 'companyName1': '', 'building': 'Blk 01', 'companyName2': '', 'projectNameUpper': 'THE-IVERIA_1 (D09)', 'custom9': '', 'company1': ' ', 'company2': ' ', 'buyerStr': '(2) MING WANG (ID No. 52632)', 'custom3': '', 'custom4': '', 'custom1': '', 'businessNumber2': '', 'custom2': '', 'businessNumber1': '', 'custom7': '', 'day': 8, 'custom8': '', 'custom5': '', 'custom6': '', 'area': 451, 'address': 'A, #123 1111, SINGAPORE 234454', 'unitName': '#08-02', 'transactionDate': '31/10/2022', 'custom10': '', 'month': 'November', 'floorPlan': 'P1f', 'nricPassport1': 'E1231', 'buyer1': 'HAJI BASIR NOORZAI E1231', 'buyerName1': 'HAJI BASIR NOORZAI', 'nricPassport2': '52632', 'buyer2': 'MING WANG 52632', 'projectName': 'The-Iveria_1 (D09)', 'buyerName2': 'MING WANG', 'facility': [{'ischeck': '☑', 'values': '要'}], 'img2': '', 'img1': ''}
2024-11-08 17:18:47.726 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 17:18:47.730 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:{{signDate}}
2024-11-08 17:18:47.736 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{buyerList}}
2024-11-08 17:18:47.740 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE, Singapore (the “Property”)
2024-11-08 17:18:47.742 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE, Singapore (the “Property”)
2024-11-08 17:18:47.751 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date : {{signDate}}
2024-11-08 17:18:47.757 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date : {{signDate}}
2024-11-08 17:18:47.761 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date :{{signDate}}
2024-11-08 17:18:47.765 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date :{{signDate}}
2024-11-08 17:18:47.769 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====> [ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 17:18:47.772 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====> [ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 17:18:47.779 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 17:18:47.784 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE
2024-11-08 17:18:47.788 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 17:18:47.790 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:{{signDate}}
2024-11-08 17:18:47.794 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{img1}}
2024-11-08 17:18:47.799 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{img2}}
2024-11-08 17:18:47.803 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 17:18:47.805 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:{{signDate}}
2024-11-08 17:18:47.808 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 17:18:47.812 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>{{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 17:18:47.820 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====> {{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 17:18:47.823 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====> {{unitName}} BELGRAVIA DRIVE, BELGRAVIA ACE, SINGAPORE (the “Unit”)
2024-11-08 17:18:47.828 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:	{{signDate}}
2024-11-08 17:18:47.834 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Date:	{{signDate}}
2024-11-08 17:18:47.839 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>
{{Sign Buyer1}}
2024-11-08 17:18:47.843 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>
{{Sign Buyer1}}
2024-11-08 17:18:47.847 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 17:18:47.850 | INFO     | modules.Project:text_to_word:1978 - 填充文本 =====>Name: {{buyerName1}}
2024-11-08 17:18:47.853 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Name: {{buyerName2}}
