2022-04-12 17:54:49.900 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:54:50.730 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:54:50.734 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:54:50.751 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:54:50.922 | INFO     | modules.Project:ComparisonPDF:1057 - ---------->page 2
2022-04-12 17:54:50.926 | INFO     | modules.Project:ComparisonPDF:1060 - ---------->page 3
2022-04-12 17:54:50.991 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:55:01.194 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:55:02.085 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:55:02.088 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:55:02.108 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:55:02.288 | INFO     | modules.Project:ComparisonPDF:1057 - ---------->page 2
2022-04-12 17:55:02.291 | INFO     | modules.Project:ComparisonPDF:1060 - ---------->page 3
2022-04-12 17:55:02.355 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:56:54.775 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:56:55.691 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:56:55.696 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:56:55.713 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:56:55.895 | INFO     | modules.Project:ComparisonPDF:1057 - ---------->page 2
2022-04-12 17:56:55.898 | INFO     | modules.Project:ComparisonPDF:1060 - ---------->page 3
2022-04-12 17:56:55.953 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:57:18.574 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:57:19.456 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:57:19.460 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:57:19.478 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:57:19.654 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 2
2022-04-12 17:57:19.657 | INFO     | modules.Project:ComparisonPDF:1062 - ---------->page 3
2022-04-12 17:57:19.711 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:58:03.501 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:58:04.436 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:58:04.440 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:58:04.460 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:58:04.647 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 2
2022-04-12 17:58:04.650 | INFO     | modules.Project:ComparisonPDF:1062 - ---------->page 3
2022-04-12 17:58:04.708 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:58:47.718 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
