2022-04-08 18:36:24.439 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:36:47.561 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:37:14.709 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:37:29.737 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf, 0c5d80359cc5416a9ea953fdebcbfc20, 71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:37:45.436 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf, 0c5d80359cc5416a9ea953fdebcbfc20, 71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:38:31.968 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:38:41.369 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:39:12.721 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:39:54.771 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:40:30.174 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:41:35.399 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:42:32.355 | INFO     | modules.Project:GetPndPdfPro:132 - ----->>>创建 era_bedroom_pdf,None,None
2022-04-08 18:44:01.002 | INFO     | modules.Project:GetPndPdfPro:133 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:45:28.597 | INFO     | modules.Project:GetPndPdfPro:133 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:45:36.137 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:48:12.941 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:48:25.654 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:48:31.481 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:48:41.083 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:48:48.610 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:50:51.181 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,,
2022-04-08 18:52:04.321 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:52:10.067 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:52:14.757 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:53:05.320 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:54:33.740 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:54:41.330 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:54:57.380 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:56:49.794 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:56:53.038 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:56:59.320 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 18:57:04.157 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:57:42.632 | INFO     | modules.Project:GetPndPdfPro:136 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:59:45.733 | INFO     | modules.Project:GetPndPdfPro:137 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 18:59:56.859 | INFO     | modules.Project:GetPndPdfPro:137 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:00:24.102 | INFO     | modules.Project:GetPndPdfPro:137 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:07:10.690 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:07:23.388 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:07:40.142 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:07:59.955 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:08:14.803 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:08:27.003 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:09:01.505 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:09:23.169 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:09:45.382 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:10:05.261 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:10:53.106 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:11:13.901 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:11:54.523 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:12:15.414 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:12:23.103 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:12:59.169 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 19:13:03.868 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 19:14:12.824 | ERROR    | manger:request_validation_exception_handler:61 - 参数错误POST http://127.0.0.1:7777/project/era_bedroom_pdf
2022-04-08 19:15:25.045 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:15:28.536 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:15:35.067 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:15:37.671 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:16:20.589 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:16:30.655 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
2022-04-08 19:16:41.470 | INFO     | modules.Project:GetPndPdfPro:134 - ----->>>创建 era_bedroom_pdf,0c5d80359cc5416a9ea953fdebcbfc20,71dd9f81e0534265afae1b19e9517b32
